step,mode,loss,angle_error(rad),distance(m)
280,test,0,0.004176488611847162,0.0
281,test,0,0.0014484529383480549,0.0
282,test,0,0.0043659214861691,0.0
283,test,0,0.0013684392906725407,0.0
284,test,0,0.00894731841981411,0.0
285,test,0,0.011928066611289978,0.0
286,test,0,0.021500807255506516,0.0
287,test,0,0.02001321315765381,0.0
288,test,0,0.019076257944107056,0.0
289,test,0,0.0032824925146996975,0.0
290,test,0,0.013705026358366013,0.0
291,test,0,0.013317195698618889,0.0
292,test,0,0.006683237385004759,0.0
293,test,0,0.0101555734872818,0.0
294,test,0,0.009897775948047638,0.0
295,test,0,0.008583193644881248,0.0
296,test,0,0.005423665512353182,0.0
297,test,0,0.007702546659857035,0.0
298,test,0,0.008792733773589134,0.0
299,test,0,0.013950174674391747,0.0
300,test,0,0.02144584059715271,0.0
301,test,0,0.016954395920038223,0.0
302,test,0,0.009757595136761665,0.0
303,test,0,0.006378351245075464,0.0
304,test,0,0.01695365272462368,0.0
305,test,0,0.023250658065080643,0.0
306,test,0,0.01831987500190735,0.0
307,test,0,0.012741489335894585,0.0
308,test,0,0.01844100095331669,0.0
309,test,0,0.021056244149804115,0.0
310,test,0,0.023720286786556244,0.0
311,test,0,0.02137184888124466,0.0
312,test,0,0.020760616287589073,0.0
313,test,0,0.013005008921027184,0.0
314,test,0,0.026207946240901947,0.0
315,test,0,0.024929393082857132,0.0
316,test,0,0.007357679773122072,0.0
317,test,0,0.003536925185471773,0.0
318,test,0,0.006899729836732149,0.0
319,test,0,0.007257726509124041,0.0
320,test,0,0.0032979478128254414,0.0
321,test,0,0.003899692092090845,0.0
322,test,0,0.001119776163250208,0.0
323,test,0,0.005670330952852964,0.0
324,test,0,0.006851139944046736,0.0
325,test,0,0.004813445266336203,0.0
326,test,0,0.0039063445292413235,0.0
327,test,0,0.006921184714883566,0.0
328,test,0,0.006880610715597868,0.0
329,test,0,0.004374308977276087,0.0
330,test,0,0.026676831766963005,0.0
331,test,0,0.03637376055121422,0.0
332,test,0,0.03305550664663315,0.0
333,test,0,0.021061815321445465,0.0
334,test,0,0.008386299014091492,0.0
335,test,0,0.0035643153823912144,0.0
336,test,0,0.0009349477477371693,0.0
337,test,0,0.0004004272632300854,0.0
338,test,0,0.004355771001428366,0.0
339,test,0,0.007415741216391325,0.0
340,test,0,0.010273255407810211,0.0
341,test,0,0.01319102942943573,0.0
