path_no,x(m),y(m)
0,5.0806510130878106e-05,0.0001558633545378296
1,5.171397838652902e-05,0.00015851431300323095
2,5.262152900507855e-05,0.00016116551315208805
3,5.3529161974616955e-05,0.00016381695500175593
4,5.4436877283240565e-05,0.00016646863856966532
5,5.534467491902142e-05,0.0001691205638731988
6,5.6252554870085333e-05,0.00017177273092986893
7,5.716051712446532e-05,0.00017442513975696042
8,5.806856167024817e-05,0.00017707779037189343
9,5.897668864715891e-05,0.00017973068325875973
10,5.988489903211835e-05,0.00018238382162062653
11,6.079319196603764e-05,0.00018503720296903493
12,6.17015674141512e-05,0.00018769082725119578
13,0.00019786606654243356,0.00019139500795844686
14,0.006195960404127041,0.00020033731162652109
15,0.02077928582219736,0.00021975613197983254
16,0.04058112630040257,0.00020333114263747392
17,0.06056815131377944,6.067835617488954e-05
18,0.08051099045611444,-0.00022346054972373916
19,0.10053342843889715,-0.0006456176292736295
20,0.12063629889220698,-0.0012175455554120284
21,0.1407700048534328,-0.0019409604572478104
22,0.16076559189037481,-0.0027875775356575095
23,0.18069124552995755,-0.003784392533642544
24,0.20067940872745996,-0.004942724608509313
25,0.22073812363358794,-0.006269936957192521
26,0.24082182215140172,-0.007765375053503757
27,0.2607946567308663,-0.009397194663917913
28,0.28060031315843137,-0.011130054872364339
29,0.30050272485970086,-0.013006144068577983
30,0.32047447012939384,-0.015016523544203384
31,0.340464182426052,-0.01715543482624736
32,0.3603660278503815,-0.019403420864048893
33,0.3801822195655449,-0.021751144864991523
34,0.39998669552200355,-0.02422796554711282
35,0.4198746832262886,-0.026848034042121865
36,0.4397722205239581,-0.029596307285141153
37,0.45958504222811647,-0.03245557138540914
38,0.47939927118891723,-0.035433846596923356
39,0.499095061106116,-0.03851828760734184
40,0.5188771457132966,-0.041769650863365364
41,0.5386599015360983,-0.0451560738729509
42,0.5583485506480099,-0.04864044253718635
43,0.5780624911235339,-0.0522028297975619
44,1.8505765855609828,0.7870002025749595
45,1.8705680766989345,0.7869495911473893
46,1.890595983635627,0.7873653443588624
47,1.9105327256634508,0.7877260143675978
48,1.930546111928291,0.7880583320193578
49,1.9505872093680465,0.788365621775024
50,1.9705881891471306,0.788631812785642
51,1.9905998614867921,0.7888452193424621
52,2.0105032628045696,0.789037203427671
53,2.030503375475995,0.7892053890770514
54,2.050548878604959,0.7893525715868003
55,2.0705603041547365,0.789470402639827
56,2.090574342123335,0.7895381440009118
57,2.1105137907643754,0.7895940647900277
58,2.1304920531568907,0.7896534981975203
59,2.150523112594114,0.7897199498352652
60,2.1705312592740937,0.7897963994728261
61,2.190533445051258,0.7898560858254488
62,2.210438781294103,0.7899161756167524
63,2.230405365674725,0.7899694447104632
64,2.250439465067848,0.790015328074189
65,2.2704635785575644,0.7900542892715968
66,2.29047214671573,0.790063669244671
67,2.3103967296524184,0.7900510006850805
68,2.3303610750673913,0.7900267250276175
69,2.3503917844791498,0.789985260394637
70,2.3704375243016322,0.7899286650441133
71,2.3904437128477785,0.7898393372625655
72,2.410391417013267,0.7897190349605139
73,2.4303485362086397,0.7895806024925894
74,2.4503668859370826,0.7894225440168974
75,2.4704197861281387,0.7892451452641189
76,2.4904326956073857,0.7890388293337481
77,2.5104065952130687,0.7887967659108096
78,2.5303479740882047,0.7885286280429578
79,2.5503535531134256,0.7882343576712979
80,2.5703962764044084,0.7879146932864443
81,2.5903863953807664,0.7875609497227825
82,2.610388486797497,0.7871592712154787
83,2.630335287608433,0.7867178682505535
84,2.650327844853202,0.7862462174905194
85,2.670374797520587,0.7857442629142966
86,2.690340945228818,0.7852072646353814
87,2.710340234517161,0.7846153129510823
88,2.73028260800037,0.7839805352350483
89,2.7502565231044307,0.7833124984563167
90,2.7702953696811794,0.7826116574898229
91,2.7902725174234617,0.7818773723370764
92,2.8102257773712274,0.781096141030021
93,2.8301618895763716,0.7802862182177673
94,2.850112668095735,0.7794583051507131
95,2.8701313861543296,0.7786127665815531
96,2.890152946514403,0.7777509004173331
97,2.910090385616188,0.7768532662927837
98,2.9300270292757506,0.7759245268967377
99,2.949961113064237,0.7749735893971089
100,2.969963335566476,0.7740028828612802
101,2.9899985275930785,0.7730110930753651
102,3.009938663922475,0.7719911845737527
103,3.029873273330802,0.7709301877592467
104,3.049791890303454,0.769840488602745
105,3.0697756076420823,0.7687253679907834
106,3.0898097388195267,0.767583194487306
107,3.1097713384905754,0.7664080407113711
108,3.129706675360615,0.765180216278799
109,3.1496071947308044,0.7639090221140932
110,3.1695693629474793,0.7625987610897508
111,3.189594624925252,0.7612474535155039
112,3.2095619513084936,0.7598483462760934
113,3.2294905999477304,0.7583703778970488
114,3.2493659783058453,0.7568230736219748
115,3.2692992769963296,0.7552113419326819
116,3.289304182734039,0.7535322515926424
117,3.3093256155719946,0.75177715077763
118,3.3292160991962296,0.7499468092976183
119,3.349048346519443,0.7480347859738752
120,3.3689360720871364,0.7460450734443196
121,3.3888956425244596,0.743974419539816
122,3.4088863158278264,0.7418342405754429
123,3.4287477770271964,0.7396761457950791
124,3.4485381034595477,0.7374797972183612
125,3.4683770169104227,0.7352483346527662
126,3.4882844142324276,0.7329795372231039
127,3.5082454564157173,0.7306758490304565
128,3.5281151540084457,0.7283694861966908
129,3.5478918671879582,0.7260566389139645
130,3.5677040083874325,0.7237288574739686
131,3.5875839813843244,0.721384738731557
132,3.6075275997099685,0.7190227032458194
133,3.6274215831058245,0.7166544021578957
134,3.6471954194193654,0.714297665842621
135,3.666989092590914,0.7119287219435553
136,3.686850783548821,0.7095487259025813
