step,mode,loss,angle_error(rad),distance(m)
1,test,0,0.19277629256248474,0.0
2,test,0,0.19323834776878357,0.0
3,test,0,0.08823580294847488,0.0
4,test,0,0.0447445809841156,0.0
5,test,0,0.061575278639793396,0.0
6,test,0,0.056697435677051544,0.0
7,test,0,0.021072890609502792,0.0
8,test,0,0.007957015186548233,0.0
9,test,0,0.01888788864016533,0.0
10,test,0,0.025253556668758392,0.0
11,test,0,0.02326279878616333,0.0
12,test,0,0.021646693348884583,0.0
13,test,0,0.023925848305225372,0.0
14,test,0,0.025651533156633377,0.0
15,test,0,0.02890029549598694,0.0
16,test,0,0.029876846820116043,0.0
17,test,0,0.03044949471950531,0.0
18,test,0,0.02917373552918434,0.0
19,test,0,0.031146690249443054,0.0
20,test,0,0.03439643979072571,0.0
21,test,0,0.03811432048678398,0.0
22,test,0,0.04341175779700279,0.0
23,test,0,0.04287935048341751,0.0
24,test,0,0.5274405479431152,0.0
25,test,0,0.32007333636283875,0.0
26,test,0,0.341495156288147,0.0
27,test,0,0.2187071144580841,0.0
28,test,0,0.203935444355011,0.0
29,test,0,0.15776094794273376,0.0
30,test,0,0.14761295914649963,0.0
31,test,0,0.11463198810815811,0.0
32,test,0,0.05742915719747543,0.0
33,test,0,0.021736402064561844,0.0
34,test,0,0.04260791093111038,0.0
35,test,0,0.030914772301912308,0.0
36,test,0,0.014476550742983818,0.0
37,test,0,0.008518895134329796,0.0
38,test,0,0.010011598467826843,0.0
39,test,0,0.010462695732712746,0.0
40,test,0,0.004413744434714317,0.0
41,test,0,0.009436006657779217,0.0
42,test,0,0.026918508112430573,0.0
43,test,0,0.032188765704631805,0.0
44,test,0,0.02888757921755314,0.0
45,test,0,0.037530384957790375,0.0
46,test,0,0.07469666004180908,0.0
47,test,0,0.11723564565181732,0.0
48,test,0,0.16043871641159058,0.0
49,test,0,0.07407718896865845,0.0
50,test,0,0.039297398179769516,0.0
51,test,0,0.06748644262552261,0.0
52,test,0,0.03953118249773979,0.0
53,test,0,0.01586524024605751,0.0
54,test,0,0.01742357760667801,0.0
55,test,0,0.036800067871809006,0.0
56,test,0,0.05684676021337509,0.0
57,test,0,0.06091519445180893,0.0
58,test,0,0.0012429030612111092,0.0
59,test,0,0.015824023634195328,0.0
60,test,0,0.03266827017068863,0.0
61,test,0,0.05219041556119919,0.0
62,test,0,0.03102266788482666,0.0
63,test,0,0.01780068129301071,0.0
64,test,0,0.05593196302652359,0.0
65,test,0,0.029363613575696945,0.0
66,test,0,0.016302023082971573,0.0
67,test,0,0.03109464794397354,0.0
68,test,0,0.0269320011138916,0.0
69,test,0,0.011519497260451317,0.0
70,test,0,0.004284456372261047,0.0
71,test,0,0.0018535703420639038,0.0
72,test,0,0.01704777032136917,0.0
73,test,0,0.005283832550048828,0.0
74,test,0,0.00014277175068855286,0.0
75,test,0,0.00576828233897686,0.0
76,test,0,0.0011312542483210564,0.0
77,test,0,0.0007047560065984726,0.0
78,test,0,0.0012362375855445862,0.0
79,test,0,0.0011033406481146812,0.0
80,test,0,0.000615815632045269,0.0
81,test,0,0.0008461326360702515,0.0
82,test,0,0.0011474266648292542,0.0
83,test,0,0.0011427849531173706,0.0
84,test,0,0.0006138905882835388,0.0
85,test,0,0.0010545002296566963,0.0
86,test,0,0.0006093541160225868,0.0
87,test,0,0.0003642560914158821,0.0
88,test,0,0.0009342599660158157,0.0
89,test,0,0.0016563907265663147,0.0
90,test,0,0.0023600254207849503,0.0
91,test,0,0.0028072651475667953,0.0
92,test,0,0.0031793247908353806,0.0
93,test,0,0.004800736904144287,0.0
94,test,0,0.005410695448517799,0.0
95,test,0,0.005561331287026405,0.0
96,test,0,0.0060366056859493256,0.0
97,test,0,0.00551842525601387,0.0
98,test,0,0.004991082474589348,0.0
99,test,0,0.004702433943748474,0.0
100,test,0,0.005025474354624748,0.0
101,test,0,0.004588710144162178,0.0
102,test,0,0.0039027202874422073,0.0
103,test,0,0.0034789592027664185,0.0
104,test,0,0.004213105887174606,0.0
105,test,0,0.002073880285024643,0.0
106,test,0,0.0019396096467971802,0.0
107,test,0,0.003977425396442413,0.0
108,test,0,0.004573417827486992,0.0
109,test,0,0.00014822930097579956,0.0
110,test,0,0.004321059212088585,0.0
111,test,0,0.008740084245800972,0.0
112,test,0,0.011519347317516804,0.0
113,test,0,0.01745317503809929,0.0
114,test,0,0.03333452343940735,0.0
115,test,0,0.0623076856136322,0.0
116,test,0,0.07823443412780762,0.0
117,test,0,0.045335978269577026,0.0
118,test,0,0.017406510189175606,0.0
119,test,0,0.04978122562170029,0.0
120,test,0,0.07733001559972763,0.0
121,test,0,0.06328091025352478,0.0
122,test,0,0.013508167117834091,0.0
123,test,0,0.005124315619468689,0.0
124,test,0,0.021623894572257996,0.0
125,test,0,0.01616642437875271,0.0
126,test,0,0.02093377709388733,0.0
127,test,0,0.020988840609788895,0.0
128,test,0,0.008199626579880714,0.0
129,test,0,0.005944754928350449,0.0
130,test,0,0.019468270242214203,0.0
