step,mode,loss,angle_error(rad),distance(m)
1,test,0,0.1927821934223175,0.0
2,test,0,0.19306695461273193,0.0
3,test,0,0.08629833906888962,0.0
4,test,0,0.04384556785225868,0.0
5,test,0,0.060142070055007935,0.0
6,test,0,0.05105964094400406,0.0
7,test,0,0.019457031041383743,0.0
8,test,0,0.006348947063088417,0.0
9,test,0,0.01941237598657608,0.0
10,test,0,0.027184132486581802,0.0
11,test,0,0.02250448241829872,0.0
12,test,0,0.02101048454642296,0.0
13,test,0,0.023843914270401,0.0
14,test,0,0.0261932834982872,0.0
15,test,0,0.028834763914346695,0.0
16,test,0,0.029890675097703934,0.0
17,test,0,0.030563104897737503,0.0
18,test,0,0.02933778241276741,0.0
19,test,0,0.5380886793136597,0.0
20,test,0,0.3428242802619934,0.0
21,test,0,0.3533517122268677,0.0
22,test,0,0.30485567450523376,0.0
23,test,0,0.21904945373535156,0.0
24,test,0,0.14713841676712036,0.0
25,test,0,0.1927030086517334,0.0
26,test,0,0.08449602872133255,0.0
27,test,0,0.09885592013597488,0.0
28,test,0,0.010733293369412422,0.0
29,test,0,0.0885990560054779,0.0
30,test,0,0.022200368344783783,0.0
31,test,0,0.021051455289125443,0.0
32,test,0,0.023290589451789856,0.0
33,test,0,0.038712263107299805,0.0
34,test,0,0.016866983845829964,0.0
35,test,0,0.007943375036120415,0.0
36,test,0,0.015033472329378128,0.0
37,test,0,0.01965329796075821,0.0
38,test,0,0.014538787305355072,0.0
39,test,0,0.0015237107872962952,0.0
40,test,0,0.01628408208489418,0.0
41,test,0,0.021185249090194702,0.0
42,test,0,0.02846541255712509,0.0
43,test,0,0.05061943456530571,0.0
44,test,0,0.0723709911108017,0.0
45,test,0,0.10320352017879486,0.0
46,test,0,0.09162870049476624,0.0
47,test,0,0.04361420497298241,0.0
48,test,0,0.04944975674152374,0.0
49,test,0,0.06167001277208328,0.0
50,test,0,0.03549594432115555,0.0
51,test,0,0.021313492208719254,0.0
52,test,0,0.02278570458292961,0.0
53,test,0,0.0388818234205246,0.0
54,test,0,0.057301342487335205,0.0
55,test,0,0.05405930429697037,0.0
56,test,0,0.00506471935659647,0.0
57,test,0,0.01609318144619465,0.0
58,test,0,0.03924425691366196,0.0
59,test,0,0.049812622368335724,0.0
60,test,0,0.029032442718744278,0.0
61,test,0,0.021486226469278336,0.0
62,test,0,0.05973072350025177,0.0
63,test,0,0.027595188468694687,0.0
64,test,0,0.013290384784340858,0.0
65,test,0,0.03108622133731842,0.0
66,test,0,0.027139242738485336,0.0
67,test,0,0.009683877229690552,0.0
68,test,0,0.000802888534963131,0.0
69,test,0,0.007039133459329605,0.0
70,test,0,0.01979079842567444,0.0
71,test,0,0.004340854473412037,0.0
72,test,0,0.0029123704880476,0.0
73,test,0,0.005903694778680801,0.0
74,test,0,0.0030749868601560593,0.0
75,test,0,0.0014750752598047256,0.0
76,test,0,0.00011291820555925369,0.0
77,test,0,0.0009672213345766068,0.0
78,test,0,0.0016363505274057388,0.0
79,test,0,0.0009473050013184547,0.0
80,test,0,0.0006125262007117271,0.0
81,test,0,0.0008525745943188667,0.0
82,test,0,0.0011372249573469162,0.0
83,test,0,0.0010253721848130226,0.0
84,test,0,0.0006052544340491295,0.0
85,test,0,0.0005397619679570198,0.0
86,test,0,0.0009481906890869141,0.0
87,test,0,0.001805376261472702,0.0
88,test,0,0.002339160069823265,0.0
89,test,0,0.002832861617207527,0.0
90,test,0,0.0032002925872802734,0.0
91,test,0,0.004610396921634674,0.0
92,test,0,0.005234608426690102,0.0
93,test,0,0.006052631884813309,0.0
94,test,0,0.006096960976719856,0.0
95,test,0,0.005558310076594353,0.0
96,test,0,0.005094785243272781,0.0
97,test,0,0.004488850012421608,0.0
98,test,0,0.005003597587347031,0.0
99,test,0,0.004715137183666229,0.0
100,test,0,0.004557356238365173,0.0
101,test,0,0.003763580694794655,0.0
102,test,0,0.003093961626291275,0.0
103,test,0,0.00224093534052372,0.0
104,test,0,0.0029537566006183624,0.0
105,test,0,0.0030597709119319916,0.0
106,test,0,0.0038342177867889404,0.0
107,test,0,0.00037812627851963043,0.0
108,test,0,0.005446497350931168,0.0
109,test,0,0.008734913542866707,0.0
110,test,0,0.01170587632805109,0.0
111,test,0,0.019099384546279907,0.0
112,test,0,0.03536626696586609,0.0
113,test,0,0.06326605379581451,0.0
114,test,0,0.07686980813741684,0.0
115,test,0,0.04169217497110367,0.0
116,test,0,0.01374140940606594,0.0
117,test,0,0.05078450217843056,0.0
118,test,0,0.07806821912527084,0.0
119,test,0,0.06135700270533562,0.0
120,test,0,0.009309804998338223,0.0
121,test,0,0.0023188572376966476,0.0
122,test,0,0.02293064445257187,0.0
123,test,0,0.011751502752304077,0.0
124,test,0,0.0189785435795784,0.0
125,test,0,0.01877789944410324,0.0
126,test,0,0.00824170745909214,0.0
127,test,0,0.005774857476353645,0.0
128,test,0,0.02025298774242401,0.0
129,test,0,0.04854607582092285,0.0
130,test,0,0.0679316520690918,0.0
131,test,0,0.031804025173187256,0.0
132,test,0,0.03056325390934944,0.0
133,test,0,0.005052089691162109,0.0
134,test,0,0.06067286431789398,0.0
135,test,0,0.03048381209373474,0.0
136,test,0,0.0178740993142128,0.0
137,test,0,0.06259232014417648,0.0
138,test,0,0.027307242155075073,0.0
139,test,0,0.002147662453353405,0.0
140,test,0,0.02609221264719963,0.0
141,test,0,0.04205087572336197,0.0
142,test,0,0.023472372442483902,0.0
143,test,0,0.007271008566021919,0.0
144,test,0,0.023365415632724762,0.0
145,test,0,0.0001018717885017395,0.0
146,test,0,0.0008080489933490753,0.0
147,test,0,0.004455752670764923,0.0
148,test,0,0.005728069692850113,0.0
149,test,0,0.004028983414173126,0.0
150,test,0,0.0018162056803703308,0.0
151,test,0,0.0005646552890539169,0.0
