model_1,True,1
model_2,True,4
model_3,True,4
model_4,True,4
model_5,True,4
model_6,True,4
model_7,True,4
model_8,True,4
model_9,True,4
model_10,True,4
model_11,True,2
model_12,True,2
model_13,True,2
model_14,True,2
model_15,True,2
model_16,True,2
model_17,True,2
model_18,True,2
model_19,True,2
model_20,True,2
model_21,True,2
model_22,True,2
model_23,True,2
model_24,True,2
model_25,True,2
model_26,True,2
model_27,False,1,15.090170685095433,13.423309464703582
model_28,True,2
model_29,False,1,0.5318917706596903,-2.8325960627850026
model_30,True,2
